Species,n,best_model,best_bic,int_best,road_best,forest_best,roadforest_best
MOUQ,7905,5,6897.227974,5.117829105,-0.216619196,0.368272263,-0.428210125
NOBO,3330,5,3131.171559,4.942588179,-0.040755878,0.440925431,-0.672990928
SCQU,900,1,657.6857005,5.158980589,,,
CAQU,8517,3,24315.13438,4.50836702,,-0.149759775,
GAQU,1270,3,1292.348843,4.888467898,,0.238668741,
WITU,2641,3,3922.803823,5.068455922,,-0.329641031,
RUGR,4650,5,6411.537077,5.291194039,-0.125503657,-1.209784506,0.61027045
SPGR,135,1,241.8374283,3.909940165,,,
WTPT,79,1,133.9283198,4.410977976,,,
GRSG,92,2,138.7798502,4.823176533,-1.243685856,,
DUGR,405,1,576.9242165,4.340290249,,,
SOGR,395,1,528.4888843,4.536016631,,,
STGR,634,2,1401.608112,4.847634992,0.369352495,,
GRPC,328,1,104.4678718,6.136991203,,,
RNEP,2756,4,5115.696546,4.575886621,0.779842515,0.789128496,
REJU,180,1,27.34478353,6.180998543,,,
CHUK,670,3,312.4460155,5.318385698,,0.57745964,
ROPI,2019,5,11316.44351,4.927667627,0.126811827,-0.143150744,-0.6295599
BTPI,2499,2,8678.777667,4.7261195,-0.257669721,,
EUCD,2843,2,4043.500702,4.745340072,-0.119395285,,
WWDO,335,1,509.816213,4.552373722,,,
MODO,63037,3,99512.82519,4.759799487,,0.057102972,
GRRO,428,2,290.5643597,5.226335596,-0.599282372,,
YBCU,6705,5,12354.94648,4.301692177,0.357429705,0.083114153,-0.280754122
MACU,171,2,392.4282558,4.9303298,-0.508815488,,
BBCU,1433,5,2258.783317,5.023019456,0.222061308,-0.937931511,0.998273045
CONI,4212,1,4370.379076,4.9103542,,,
COPO,156,1,87.21506255,5.279325594,,,
CWWI,101,1,180.7494658,4.431021463,,,
CHSW,1479,4,4604.973742,4.672226746,-0.473180328,-0.169730778,
VASW,509,3,1308.458157,3.957832571,,0.324508605,
WTSW,1215,2,3160.575125,4.786564335,-0.49371331,,
RTHU,1421,3,2269.855409,3.676551583,,-0.329387645,
BCHU,1014,5,1397.795044,3.640739866,0.409992162,-0.140799082,-0.479693216
ANHU,4411,4,13441.25742,3.815103402,-0.07678203,-0.360663876,
CAHU,461,2,1178.961036,3.520675702,-0.19912881,,
RUHU,1097,1,498.9987876,3.271060836,,,
ALHU,2092,3,5510.159771,3.496073588,,-0.120132485,
BTHU,5744,1,6573.02627,3.691966513,,,
SACR,2719,5,2098.982984,5.47805109,0.393108579,0.775747214,-1.038801407
BLVU,358,2,1142.495036,5.283989893,-0.765361839,,
TUVU,5914,4,10928.83885,5.246978745,-0.339598459,-0.434487709,
OSPR,1392,2,1885.799416,5.007016109,-0.247450669,,
GOEA,292,1,146.3825517,5.378591644,,,
NOHA,2815,1,5015.830164,5.199111175,,,
SSHA,310,2,590.6787347,4.324987869,-0.472958234,,
COHA,482,3,903.9102207,4.454573272,,-0.287188751,
NOGO,161,1,251.1964764,4.446986108,,,
BAEA,732,2,1269.678402,4.671314396,0.28913034,,
MIKI,280,2,460.8628921,4.842425153,-0.388215051,,
RSHA,1647,1,2921.2013,4.767893334,,,
BWHA,174,3,487.0629193,4.684303744,,-0.426342569,
SWHA,1269,1,901.2901073,5.236538419,,,
RTHA,5835,3,7713.271024,4.931874728,,-0.169436118,
FEHA,176,1,180.5806767,4.955659087,,,
GHOW,698,3,1311.047684,4.484566087,,0.247891112,
NOPO,594,2,439.1642742,5.24496581,-0.545913388,,
BUOW,347,1,143.7739177,5.584747778,,,
BADO,608,2,1025.761335,4.541100827,0.462307342,,
SEOW,246,5,373.5152378,4.56097888,18.06575666,0.493876781,-18.85556256
BEKI,2280,3,4106.763453,4.436312455,,-0.330605226,
LEWO,255,2,376.2623651,4.584832707,-0.502050411,,
RHWO,3899,5,8139.886087,4.248130517,-0.016248558,0.412484502,-0.334286408
ACWO,6905,3,16616.47263,4.669902829,,-0.222239026,
GIWO,136,1,117.3547889,4.972987171,,,
GFWO,283,1,236.2333691,4.972778153,,,
RBWO,14236,5,32751.14705,4.409796857,0.164994192,-0.245624692,0.158644474
WISA,732,1,1101.614139,4.297428003,,,
YBSA,16273,5,34580.64494,4.792773703,-0.145101197,-0.8017556,0.832635143
RNSA,2210,1,3194.65855,4.303636272,,,
RBSA,3405,4,6771.739113,4.156533291,-0.132478254,0.181109795,
ATTW,1129,2,1965.962975,4.196660738,-0.237412947,,
BBWO,886,4,1478.93617,4.221864707,0.408507466,-0.185302233,
DOWO,11965,5,25784.11976,4.042176128,0.129943096,-0.132228789,-0.193647957
LBWO,347,1,416.469899,4.54122827,,,
HAWO,15494,5,28737.91168,4.309712375,-0.03194689,-0.159663359,0.170449629
WHWO,1585,1,3702.300227,4.468691339,,,
NOFL,36969,4,49855.41,4.749180643,0.061460111,-0.099585141,
PIWO,11355,5,16414.71321,5.046877943,-0.119097626,-0.437943605,0.376493895
AMKE,2575,2,2971.101309,4.901168456,-0.237835941,,
PEFA,176,1,248.5700563,5.124385084,,,
PRFA,194,1,169.9815988,5.092188266,,,
ATFL,14307,3,28598.21172,4.372096234,,0.261655093,
GCFL,12051,4,28244.9023,4.456624149,0.176663628,-0.495551989,
CAKI,973,1,1111.433445,4.878385714,,,
WEKI,8569,3,20957.72399,4.297395331,,0.293483119,
EAKI,6539,5,12180.92041,4.328962735,-0.042637621,0.000336733,-0.366731754
STFL,421,1,705.9910122,4.484759309,,,
OSFL,11756,3,15466.7455,4.854228985,,-0.067779547,
WEWP,31803,4,54400.43582,4.424208114,-0.037449144,0.129287645,
EAWP,15623,5,35330.21596,4.70005988,-0.037981431,-0.648213897,0.352805199
YBFL,5559,3,8829.595775,4.70560475,,-0.861295704,
ACFL,4293,5,9643.308231,3.567632469,0.305586059,0.508410314,-0.565939297
ALFL,9453,5,19961.7437,4.599351939,0.038377444,-0.65020401,0.546972222
