"Species","n","best_model","best_bic","int_best","road_best","forest_best","roadforest_best"
"MOUQ",7905,5,6897.22797443646,5.11782910473169,-0.216619196486344,0.368272262615259,-0.428210124682312
"NOBO",3330,5,3131.17155858191,4.94258817858261,-0.0407558775332709,0.440925430553084,-0.672990927949155
"SCQU",900,1,657.685700467819,5.15898058937476,NA,NA,NA
"CAQU",8517,3,24315.1343777497,4.50836701965584,NA,-0.149759775401308,NA
"GAQU",1270,3,1292.34884328647,4.88846789773319,NA,0.238668740668753,NA
"WITU",2641,3,3922.80382290045,5.06845592245489,NA,-0.329641031098312,NA
"RUGR",4650,5,6411.53707663788,5.29119403857368,-0.125503657360084,-1.20978450563429,0.610270450094854
"SPGR",135,1,241.837428278506,3.90994016452349,NA,NA,NA
"WTPT",79,1,133.928319822827,4.41097797593812,NA,NA,NA
"GRSG",92,2,138.779850247611,4.82317653340146,-1.24368585569501,NA,NA
"DUGR",405,1,576.924216469321,4.34029024856347,NA,NA,NA
"SOGR",395,1,528.488884341661,4.53601663087446,NA,NA,NA
"STGR",634,2,1401.60811159672,4.84763499219417,0.369352494649348,NA,NA
"GRPC",328,1,104.467871775372,6.13699120283209,NA,NA,NA
"RNEP",2756,4,5115.69654583293,4.57588662084309,0.779842515169026,0.789128495605536,NA
"REJU",180,1,27.3447835314018,6.18099854324666,NA,NA,NA
"CHUK",670,3,312.446015491154,5.31838569810831,NA,0.57745964004578,NA
"ROPI",2019,5,11316.4435088099,4.92766762743463,0.126811827434634,-0.143150744304739,-0.629559899929432
"BTPI",2499,2,8678.77766685657,4.72611949973629,-0.257669720996714,NA,NA
"EUCD",2843,2,4043.50070223673,4.74534007241651,-0.119395285328553,NA,NA
"WWDO",335,1,509.81621301272,4.55237372218271,NA,NA,NA
"MODO",63037,3,99512.8251900956,4.75979948662498,NA,0.0571029720301298,NA
"GRRO",428,2,290.564359657844,5.22633559633952,-0.59928237201369,NA,NA
"YBCU",6705,5,12354.9464767218,4.3016921769246,0.357429704762516,0.0831141526333892,-0.280754122461089
"MACU",171,2,392.428255779358,4.93032979982973,-0.508815488237648,NA,NA
"BBCU",1433,5,2258.78331727153,5.02301945618269,0.222061307596548,-0.93793151053565,0.998273044636147
"CONI",4212,1,4370.37907600236,4.91035420011245,NA,NA,NA
"COPO",156,1,87.2150625525983,5.27932559409017,NA,NA,NA
"CWWI",101,1,180.74946583519,4.43102146254006,NA,NA,NA
"CHSW",1479,4,4604.9737423724,4.67222674607161,-0.473180327988895,-0.169730778495386,NA
