Species,n,best_model,best_bic,int_best,tssr_best,tssr2_best,jd_best,jd2_best
MOUQ,3829,2,9223.887522,-0.846338869,-3.49444821,,,
NOBO,3188,2,11553.02035,-0.698862947,-2.878549727,,,
SCQU,978,1,4200.44362,-1.065772623,,,,
CAQU,2635,1,9476.573105,-1.427311405,,,,
GAQU,1047,4,4628.552163,-0.657405602,5.876212676,-37.5944021,,
WITU,2162,1,8266.677327,-1.487210598,,,,
RUGR,3709,1,9346.843558,-1.351099792,,,,
SPGR,93,1,272.0927344,-1.587828463,,,,
WTPT,87,2,413.6189531,-0.901347547,-9.696072014,,,
GRSG,83,2,503.4892559,-0.852678421,-10.68749828,,,
DUGR,401,1,1456.438582,-1.27292761,,,,
SOGR,332,1,837.1109497,-1.073997973,,,,
STGR,471,3,2786.316922,6.276234496,,,-18.61217213,
GRPC,292,3,1554.78825,2.697801255,,,-7.329290971,
RNEP,2301,8,9417.123518,-61.46204929,-3.05958661,,270.0949966,-302.357914
REJU,162,1,442.9379195,-1.395030464,,,,
CHUK,735,2,3052.921258,-0.744854026,-6.232736243,,,
ROPI,1344,7,20118.76284,-4.190651611,-1.50848692,10.42498028,5.047839507,
BTPI,904,3,4335.468592,-12.74592708,,,22.49806981,
EUCD,2602,1,11427.09805,-1.410044126,,,,
WWDO,384,1,1983.272492,-1.291387209,,,,
MODO,49101,9,200594.5053,-2.364058739,-0.583615017,-11.75261112,5.814900943,-6.659844516
GRRO,439,4,1593.845711,-1.491770289,22.78547114,-215.6193792,,
YBCU,5770,1,14039.09189,-1.91883472,,,,
MACU,143,2,650.4328849,0.478772967,-15.18943387,,,
BBCU,1233,1,3316.445345,-2.104372225,,,,
CONI,3693,6,13333.40885,-1.524727804,-3.368695237,,1.735045085,
COPO,157,4,525.5775588,-1.215514962,-54.85328392,-636.6453452,,
CWWI,95,1,189.0281547,-0.076617453,,,,
CHSW,1224,1,5333.908674,-2.26318939,,,,
VASW,349,3,1631.807645,3.081407534,,,-12.0780767,
WTSW,1025,3,8705.641238,-3.306512808,,,4.588462707,
RTHU,1032,1,2739.632124,-3.366687929,,,,
BCHU,480,1,1924.162859,-2.030715362,,,,
ANHU,972,1,3133.974567,-1.999759099,,,,
CAHU,156,1,550.2559962,-3.471864614,,,,
RUHU,754,1,2490.971278,-2.043377994,,,,
ALHU,114,1,216.025467,-2.643145288,,,,
BTHU,5586,5,21344.38441,-19.25383113,,,75.62336705,-80.35178425
SACR,2382,3,11247.35281,-0.269265042,,,-3.353602419,
BLVU,346,4,1822.377118,-1.176323812,15.30812468,-78.40195674,,
TUVU,3399,1,15993.73136,-2.038392965,,,,
OSPR,929,1,2974.501577,-1.812000317,,,,
GOEA,226,1,854.4976112,-2.025354865,,,,
NOHA,1114,1,3864.208832,-2.366927163,,,,
SSHA,231,1,722.9870614,-2.483191671,,,,
COHA,353,1,1200.098188,-3.056335847,,,,
NOGO,93,2,296.4047386,-0.068901517,-26.76587586,,,
BAEA,575,2,1833.862818,-2.284974883,4.211106089,,,
MIKI,269,1,841.7041995,-2.671711449,,,,
RSHA,844,1,2173.62717,-1.914288661,,,,
BWHA,139,3,464.2262916,-9.069415184,,,14.87166708,
SWHA,1098,2,3834.966184,-1.372629583,-2.532793827,,,
RTHA,3780,2,11954.67987,-1.103038529,-2.395482057,,,
FEHA,174,1,616.958112,-1.163078746,,,,
GHOW,479,6,1501.715275,1.047231938,-3.450132341,,-4.491948741,
NOPO,323,3,942.2059342,2.460894809,,,-9.278298623,
BUOW,329,1,1448.903748,-1.563911857,,,,
BADO,479,2,1208.699668,-1.165766356,-3.688456142,,,
SEOW,230,1,889.4559862,-1.665094157,,,,
BEKI,1397,1,4324.953116,-2.187011916,,,,
LEWO,220,1,921.3820459,-1.57604647,,,,
RHWO,3639,4,12158.89033,-1.430831032,2.333579589,-24.92298927,,
ACWO,3312,3,12269.45957,0.206415747,,,-4.382118883,
GIWO,190,1,797.6326661,-1.166147667,,,,
GFWO,303,5,1188.070752,-76.33959908,,,422.2178856,-589.1054017
RBWO,12106,1,32320.88389,-1.746480207,,,,
WISA,635,1,2299.341359,-1.728668074,,,,
YBSA,11977,2,31972.242,-2.047867045,-0.8611453,,,
RNSA,1854,1,7064.830097,-1.707630657,,,,
RBSA,1752,1,5234.723881,-2.525273757,,,,
ATTW,967,1,3486.730794,-1.420488525,,,,
BBWO,694,1,2068.852496,-1.607947628,,,,
DOWO,7846,1,20819.69188,-2.227599953,,,,
LBWO,388,1,1441.782862,-1.715682006,,,,
HAWO,10413,4,31586.09379,-1.703460191,0.713386494,-11.77579233,,
WHWO,331,1,945.654556,-1.706342058,,,,
NOFL,25937,4,85059.86134,-1.666811667,2.021126264,-16.2877039,,
PIWO,8001,1,22135.85448,-2.217564104,,,,
AMKE,1892,1,6865.984775,-2.290288824,,,,
PEFA,109,1,391.1363312,-1.777779488,,,,
PRFA,178,1,658.3188352,-1.665162465,,,,
ATFL,7578,2,27318.34243,-0.841414014,-2.132699374,,,
GCFL,10386,3,27575.10784,-0.941377177,,,-1.720762834,
CAKI,914,1,4229.895847,-1.021183932,,,,
WEKI,5125,2,24801.90011,-1.303344193,-1.600098685,,,
EAKI,5732,2,20200.41778,-1.723997868,-0.937069218,,,
STFL,437,2,2000.241453,-1.358434051,-13.71315703,,,
OSFL,6488,2,15781.45675,-0.936078008,1.159650094,,,
WEWP,21112,3,69885.53952,-1.54564957,,,1.620503072,
EAWP,13470,2,32471.21702,-1.299837851,-0.561793853,,,
YBFL,4731,8,11936.97321,-38.30798089,-0.938796725,,167.3136261,-189.1996003
ACFL,3416,6,7601.796214,0.705845679,-1.687219729,,-3.473882719,
ALFL,6908,6,19550.40951,-0.512324652,-0.892206201,,-1.863636226,
WIFL,1602,5,4159.156488,-22.49508749,,,89.54809426,-93.96902914
LEFL,11766,8,33969.73736,-9.673968426,-1.020876593,,35.20203525,-35.74762015
HAFL,4577,5,13666.65895,-15.09726491,,,65.77107872,-75.73110946
GRFL,5183,2,18473.6489,-0.7578448,-1.906528689,,,
DUFL,12406,8,39350.58663,-8.155927231,-0.884184359,,34.51221485,-39.67802721
PSFL,5593,2,13058.88518,-0.838247723,-1.769484315,,,
WEFL,193,5,653.3262613,-60.55686293,,,270.3435346,-305.7484794
COFL,2507,2,8613.067701,-0.746297534,-2.074130046,,,
BLPH,575,1,1938.054166,-1.878569022,,,,
EAPH,2005,1,6366.965453,-1.897218629,,,,
SAPH,2595,2,9344.708915,-1.007406274,-2.944834186,,,
UNFL,612,1,2305.902139,-2.224600674,,,,
LOSH,1358,1,5054.963087,-1.481666423,,,,
WEVI,6557,4,16801.62781,-0.418865442,-6.897758326,15.64991836,,
BEVI,475,1,1540.405749,-0.964874713,,,,
GRVI,1802,1,6286.868663,-0.770487076,,,,
HUVI,1842,1,4429.335142,-1.561364197,,,,
YTVI,3601,1,8425.128951,-1.580880137,,,,
CAVI,9427,1,24360.61358,-1.095432023,,,,
BHVI,3838,3,9214.024292,0.106540409,,,-3.657362225,
PLVI,3707,1,13309.23641,-0.894198361,,,,
PHVI,657,2,1177.517785,-1.527670776,-2.80449144,,,
WAVI,24572,9,79241.98682,-8.076428325,1.036496613,-10.70670763,30.53390945,-31.87094506
REVI,42886,8,127028.717,-3.502577373,-0.507377079,,9.591557151,-9.392613659
BWVI,267,1,1301.176534,-1.501889579,,,,
CAJA,7624,4,24653.33159,-2.027771382,0.656090764,6.700662085,,
PIJA,2479,1,19701.15968,-0.964819391,,,,
STJA,15486,1,48324.88916,-1.361986642,,,,
BLJA,25155,7,85512.39677,-2.150007358,-0.371125759,-5.935799179,0.768175169,
CASJ,281,1,1123.151276,-1.257561832,,,,
WOSJ,2254,1,9630.460576,-1.585551775,,,,
MEJA,148,1,1138.361289,-0.936801353,,,,
CLNU,6221,1,28816.18722,-1.185335096,,,,
BBMA,6588,3,28769.23542,-2.962085949,,,4.147012353,
AMCR,32521,9,116118.7366,-3.191941376,-0.510287508,-5.663744779,8.367177279,-8.946492369
FICR,566,8,1515.29357,-54.17082887,-4.619534142,,250.147883,-291.8657235
CHRA,677,2,3420.764182,-1.191752193,-5.737797498,,,
CORA,25511,4,102889.405,-1.389219528,0.497813608,-6.543212407,,
HOLA,35381,4,219278.8477,-0.882039852,-0.35504844,-8.1514164,,
BANS,907,7,9021.302746,0.074235074,29.99736655,-104.972752,-6.925767442,
TRES,11264,5,71160.59975,-0.403400285,,,-3.801217585,2.830456211
VGSW,5421,8,36583.85983,-6.935646138,-2.991617558,,28.70227201,-35.83356326
NRWS,2299,4,19228.50609,-0.818171409,-10.57647255,15.44443977,,
PUMA,1019,9,8020.974068,-43.3651265,-18.23777923,-114.6150105,210.4102265,-256.0348234
BARS,6759,2,39653.54826,-1.631353255,-2.290747173,,,
CLSW,4131,5,77680.3236,-10.24963073,,,44.47176946,-52.49318766
CACH,3081,7,9121.822137,-2.31650839,-7.168621085,19.10418347,3.119780704,
BCCH,17877,9,62924.1294,-3.842528555,0.352338326,-3.211106925,9.204191639,-9.378538682
MOCH,23528,8,92000.05177,2.255594509,-1.675632376,,-13.84747575,14.74005643
CBCH,3084,1,10112.19078,-1.298529531,,,,
BOCH,1329,4,3219.632449,-1.772890052,2.127939484,9.030941131,,
OATI,1323,1,4562.406834,-1.284303725,,,,
JUTI,2516,3,10444.25698,-0.118430724,,,-3.092531904,
TUTI,8680,8,22623.00257,-5.998799444,-3.448403189,,28.17531742,-37.03803514
BCTI,194,1,735.8624462,-1.16304828,,,,
VERD,397,1,1622.371352,-1.196029007,,,,
BUSH,2081,3,11397.02455,0.853788904,,,-5.126085267,
RBNU,33401,4,107187.1162,-1.315690341,2.544371724,-7.057814245,,
