"Species","n","best_model","best_bic","int_best","tssr_best","tssr2_best","jd_best","jd2_best"
"MOUQ",3829,2,9223.88752182106,-0.846338869067305,-3.49444820980678,NA,NA,NA
"NOBO",3188,2,11553.0203492867,-0.698862946654975,-2.87854972673257,NA,NA,NA
"SCQU",978,1,4200.44361981743,-1.06577262260776,NA,NA,NA,NA
"CAQU",2635,1,9476.57310470596,-1.42731140517272,NA,NA,NA,NA
"GAQU",1047,4,4628.55216336641,-0.65740560247625,5.87621267563079,-37.5944021011892,NA,NA
"WITU",2162,1,8266.67732663503,-1.48721059839179,NA,NA,NA,NA
"RUGR",3709,1,9346.84355836976,-1.351099791792,NA,NA,NA,NA
"SPGR",93,1,272.09273442843,-1.58782846254406,NA,NA,NA,NA
"WTPT",87,2,413.618953068772,-0.901347547196783,-9.69607201421132,NA,NA,NA
"GRSG",83,2,503.489255924403,-0.852678421483348,-10.6874982756926,NA,NA,NA
"DUGR",401,1,1456.4385818539,-1.27292760975555,NA,NA,NA,NA
"SOGR",332,1,837.110949683208,-1.07399797283541,NA,NA,NA,NA
"STGR",471,3,2786.31692164143,6.27623449553631,NA,NA,-18.6121721299093,NA
"GRPC",292,3,1554.78824968457,2.69780125470586,NA,NA,-7.32929097119618,NA
"RNEP",2301,8,9417.12351817543,-61.4620492887271,-3.05958661038401,NA,270.094996561753,-302.357913992221
"REJU",162,1,442.937919452757,-1.39503046433115,NA,NA,NA,NA
"CHUK",735,2,3052.9212578819,-0.744854025886627,-6.23273624294876,NA,NA,NA
"ROPI",1344,7,20118.7628417259,-4.19065161097588,-1.50848692020447,10.42498027808,5.04783950668258,NA
"BTPI",904,3,4335.46859198075,-12.7459270777385,NA,NA,22.4980698137636,NA
"EUCD",2602,1,11427.0980487557,-1.41004412646292,NA,NA,NA,NA
"WWDO",384,1,1983.27249237156,-1.29138720899907,NA,NA,NA,NA
"MODO",49101,9,200594.505317995,-2.36405873865535,-0.583615016977231,-11.752611119252,5.81490094320196,-6.65984451648752
"GRRO",439,4,1593.84571097209,-1.49177028874491,22.7854711419339,-215.61937923343,NA,NA
"YBCU",5770,1,14039.0918940577,-1.9188347204354,NA,NA,NA,NA
"MACU",143,2,650.432884881701,0.478772966879672,-15.1894338749237,NA,NA,NA
"BBCU",1233,1,3316.44534521294,-2.10437222512778,NA,NA,NA,NA
"CONI",3693,6,13333.4088509431,-1.52472780409718,-3.36869523655161,NA,1.73504508463021,NA
"COPO",157,4,525.577558770504,-1.21551496193273,-54.853283921117,-636.645345175458,NA,NA
"CWWI",95,1,189.028154675779,-0.076617453372871,NA,NA,NA,NA
"CHSW",1224,1,5333.90867435914,-2.2631893896221,NA,NA,NA,NA
"VASW",349,3,1631.80764524572,3.08140753409956,NA,NA,-12.0780767012746,NA
"WTSW",1025,3,8705.6412384969,-3.30651280846521,NA,NA,4.5884627068069,NA
"RTHU",1032,1,2739.63212398696,-3.36668792928579,NA,NA,NA,NA
"BCHU",480,1,1924.16285864917,-2.03071536214072,NA,NA,NA,NA
"ANHU",972,1,3133.9745674177,-1.99975909882679,NA,NA,NA,NA
"CAHU",156,1,550.255996223638,-3.47186461441656,NA,NA,NA,NA
"RUHU",754,1,2490.97127838516,-2.04337799385887,NA,NA,NA,NA
"ALHU",114,1,216.025467039047,-2.64314528771909,NA,NA,NA,NA
"BTHU",5586,5,21344.3844148155,-19.2538311343886,NA,NA,75.6233670481038,-80.3517842457811
"SACR",2382,3,11247.3528097065,-0.269265042364219,NA,NA,-3.35360241911187,NA
"BLVU",346,4,1822.37711837131,-1.17632381193928,15.3081246833608,-78.4019567422417,NA,NA
"TUVU",3399,1,15993.7313594583,-2.03839296506518,NA,NA,NA,NA
"OSPR",929,1,2974.50157710008,-1.81200031704771,NA,NA,NA,NA
"GOEA",226,1,854.497611212254,-2.02535486490306,NA,NA,NA,NA
"NOHA",1114,1,3864.20883246527,-2.3669271627541,NA,NA,NA,NA
"SSHA",231,1,722.987061357079,-2.48319167096,NA,NA,NA,NA
"COHA",353,1,1200.09818770862,-3.0563358473874,NA,NA,NA,NA
"NOGO",93,2,296.404738596326,-0.0689015167915641,-26.7658758617819,NA,NA,NA
"BAEA",575,2,1833.86281782508,-2.28497488275553,4.2111060885579,NA,NA,NA
"MIKI",269,1,841.704199512072,-2.67171144884731,NA,NA,NA,NA
"RSHA",844,1,2173.62716986497,-1.91428866095048,NA,NA,NA,NA
"BWHA",139,3,464.226291564933,-9.06941518377808,NA,NA,14.8716670801372,NA
"SWHA",1098,2,3834.96618428449,-1.37262958265232,-2.53279382718451,NA,NA,NA
"RTHA",3780,2,11954.6798675352,-1.10303852905008,-2.39548205735981,NA,NA,NA
"FEHA",174,1,616.95811198383,-1.16307874558539,NA,NA,NA,NA
"GHOW",479,6,1501.71527494414,1.04723193819254,-3.45013234118572,NA,-4.4919487407877,NA
"NOPO",323,3,942.205934199925,2.46089480877195,NA,NA,-9.27829862263147,NA
"BUOW",329,1,1448.90374754803,-1.56391185749436,NA,NA,NA,NA
"BADO",479,2,1208.69966810023,-1.16576635593627,-3.68845614151062,NA,NA,NA
"SEOW",230,1,889.455986236927,-1.66509415739198,NA,NA,NA,NA
"BEKI",1397,1,4324.95311645617,-2.18701191602566,NA,NA,NA,NA
"LEWO",220,1,921.382045865906,-1.57604647019609,NA,NA,NA,NA
