"Species","Model","Intercept","Roadside","Forest","Interaction","tau","tau_2.5","tau_97.5"
"MOUQ",5,1,1,0,0,134.45235632822,123.176253552511,147.015647044754
"MOUQ",5,1,1,0.1,0.1,133.648887963615,123.796552602745,144.276526729516
"MOUQ",5,1,1,0.2,0.2,132.850221012913,124.438046876807,141.819236453722
"MOUQ",5,1,1,0.3,0.3,132.05632678354,124.826214951563,139.624173578647
"MOUQ",5,1,1,0.4,0.4,131.267176754384,124.895200912926,137.891989202404
"MOUQ",5,1,1,0.5,0.5,130.482742574772,124.502765557263,136.645619852558
"MOUQ",5,1,1,0.6,0.6,129.702996063452,123.640295155458,136.000443183098
"MOUQ",5,1,1,0.7,0.7,128.927909207577,122.216168311847,135.830561993755
"MOUQ",5,1,1,0.8,0.8,128.157454161702,120.394054854219,136.153836932737
"MOUQ",5,1,1,0.9,0.9,127.391603246781,118.506153823991,136.815542005171
"MOUQ",5,1,1,1,1,126.630328949176,116.401914977088,137.534660243118
"MOUQ",5,1,0,0,0,166.97249608171,156.217840516549,178.454398188282
"MOUQ",5,1,0,0.1,0,173.236260593768,163.269766076549,183.755494895474
"MOUQ",5,1,0,0.2,0,179.735002403186,170.535148295619,189.449602065968
"MOUQ",5,1,0,0.3,0,186.477536389603,177.957693266692,195.502340740203
"MOUQ",5,1,0,0.4,0,193.473008111854,185.498705963799,201.952831225721
"MOUQ",5,1,0,0.5,0,200.730906212983,192.860975712135,208.916515134417
"MOUQ",5,1,0,0.6,0,208.26107529062,200.349359930065,216.497149325453
"MOUQ",5,1,0,0.7,0,216.073729250169,207.454590580942,224.9190053165
"MOUQ",5,1,0,0.8,0,224.179465158932,214.478732169865,233.999128367492
"MOUQ",5,1,0,0.9,0,232.589277619947,221.449112580251,244.018694115576
"MOUQ",5,1,0,1,0,241.314573685044,228.361190384021,254.467812247081
"NOBO",5,1,1,0,0,134.536064554275,121.231801822921,149.385907471817
"NOBO",5,1,1,0.1,0.1,131.449894857636,119.951857738087,144.110849745072
"NOBO",5,1,1,0.2,0.2,128.434519883794,118.269518561177,139.590294793676
"NOBO",5,1,1,0.3,0.3,125.488315647919,115.883976439888,135.684171349785
"NOBO",5,1,1,0.4,0.4,122.609695418332,112.895700707204,133.005005644729
"NOBO",5,1,1,0.5,0.5,119.797108861947,109.476313441725,131.140206807282
"NOBO",5,1,1,0.6,0.6,117.04904120931,105.666498299649,129.640817284453
"NOBO",5,1,1,0.7,0.7,114.364012438789,101.799654219071,128.532952965045
"NOBO",5,1,1,0.8,0.8,111.740576479486,97.7234606367549,127.987348658444
"NOBO",5,1,1,0.9,0.9,109.177320432429,93.7297588591802,127.58417253126
"NOBO",5,1,1,1,1,106.672863809626,89.7449548668241,127.012438370449
"NOBO",5,1,0,0,0,140.132468467811,133.061729184985,147.580196110411
"NOBO",5,1,0,0.1,0,146.449509153756,139.715089948838,153.648382624917
"NOBO",5,1,0,0.2,0,153.0513161288,145.788105614102,160.481189760531
"NOBO",5,1,0,0.3,0,159.950726391063,151.73307105553,168.273290852103
"NOBO",5,1,0,0.4,0,167.16115561854,157.322837115257,177.272890208348
"NOBO",5,1,0,0.5,0,174.696624255449,162.678227032648,187.319028939396
"NOBO",5,1,0,0.6,0,182.571784774529,168.096403868099,198.007534810647
"NOBO",5,1,0,0.7,0,190.801950168291,173.52509022611,209.553235275779
